Team,,Result,Odds1,Odds2
Dignitas˜- Counter Logic Gaming,,1:00,-133,102
Evil Geniuses˜- Cloud9,,1:00,120,-154
100 Thieves˜- Team SoloMid,,1:00,-149,117
FlyQuest eSports˜- Immortals,,1:00,133,-172
Team Liquid -˜Golden Guardians,,0:01,-385,270
Counter Logic Gaming -˜FlyQuest eSports,,0:01,-161,123
Cloud9˜- Dignitas,,1:00,-370,261
100 Thieves -˜Evil Geniuses,,0:01,-213,163
Team Liquid˜- Immortals,,1:00,-217,165
Golden Guardians -˜Team SoloMid,,0:01,248,-345
Dignitas -˜Team Liquid,,0:01,215,-294
Immortals -˜Evil Geniuses,,0:01,110,-145
Golden Guardians˜- 100 Thieves,,1:00,395,-625
Cloud9 -˜FlyQuest eSports,,0:01,-625,397
Team SoloMid -˜Counter Logic Gaming,,0:01,-333,239
Dignitas -˜Immortals,,0:01,110,-143
Team Liquid˜- FlyQuest eSports,,1:00,-357,258
Cloud9 -˜Team SoloMid,,0:01,-149,114
Counter Logic Gaming -˜100 Thieves,,0:01,263,-370
Golden Guardians -˜Evil Geniuses,,0:01,189,-250
FlyQuest eSports -˜100 Thieves,,0:01,338,-500
Golden Guardians -˜Dignitas,,0:01,104,-137
Team Liquid -˜Cloud9,,0:01,104,-135
Evil Geniuses˜- Counter Logic Gaming,,1:00,-204,156
Team SoloMid˜- Immortals,,1:00,-189,145
Counter Logic Gaming -˜Golden Guardians,,0:01,-189,143
Immortals -˜Cloud9,,0:01,140,-185
Dignitas˜- Team SoloMid,,1:00,218,-294
FlyQuest eSports -˜Evil Geniuses,,0:01,177,-238
100 Thieves˜- Team Liquid,,1:00,-167,127
Counter Logic Gaming -˜Cloud9,,0:01,175,-233
FlyQuest eSports -˜Golden Guardians,,0:01,-141,108
Team SoloMid˜- Team Liquid,,1:00,-122,-106
Immortals -˜100 Thieves,,0:01,186,-250
Dignitas -˜Evil Geniuses,,0:01,127,-164
Golden Guardians -˜Immortals,,0:01,162,-217
Evil Geniuses˜- Team SoloMid,,1:00,150,-196
100 Thieves˜- Cloud9,,1:00,-122,-106
FlyQuest eSports -˜Dignitas,,0:01,-112,-115
Team Liquid˜- Counter Logic Gaming,,1:00,-244,181
Team SoloMid˜- FlyQuest eSports,,1:00,-286,212
Immortals˜- Counter Logic Gaming,,1:00,-111,-116
Cloud9˜- Golden Guardians,,1:00,-526,345
100 Thieves˜- Dignitas,,1:00,-333,242
Evil Geniuses -˜Team Liquid,,0:01,134,-175
Evil Geniuses˜- Golden Guardians,,1:00,-256,190
Immortals˜- FlyQuest eSports,,1:00,-172,131
Team SoloMid˜- Cloud9,,1:00,108,-141
Team Liquid -˜100 Thieves,,0:01,-128,-101
Counter Logic Gaming˜- Dignitas,,1:00,-125,-103
Golden Guardians -˜Team Liquid,,0:01,333,-500
100 Thieves˜- FlyQuest eSports,,1:00,-370,267
Team SoloMid˜- Dignitas,,1:00,-244,184
Counter Logic Gaming˜- Evil Geniuses,,1:00,129,-167
Cloud9 -˜Immortals,,0:01,-303,219
